lote_id,t_utc,t_local,bt_min_k,bt_mean_k,n_pix,btd_wv_ir_max,btd_split_min,f235,f225,f215,f205,enfriamiento_k_10min,score_escena
punto,2026-07-31T15:10:21.500000+00:00,2026-07-31T12:10:21.500000-03:00,250.8735146522522,282.9963112098405,243,-18.014829397201538,0.5319271460175514,0,0,0,0,,0.0
punto,2026-07-31T15:20:21.500000+00:00,2026-07-31T12:20:21.500000-03:00,264.2088851109147,287.9587672957686,243,-29.955954529345036,0.9734553843736649,0,0,0,0,,0.0
punto,2026-07-31T15:30:21.500000+00:00,2026-07-31T12:30:21.500000-03:00,249.52154161036015,281.5348292932805,243,-17.719102814793587,0.8221612498164177,0,0,0,0,,0.0
punto,2026-07-31T15:40:21.500000+00:00,2026-07-31T12:40:21.500000-03:00,247.61648868769407,280.3092116734745,243,-16.109798900783062,0.9214645624160767,0,0,0,0,,0.0
punto,2026-07-31T15:50:21.500000+00:00,2026-07-31T12:50:21.500000-03:00,249.58299493044615,286.9706608436005,243,-17.27355783432722,0.7634937614202499,0,0,0,0,,0.0
punto,2026-07-31T16:00:21.500000+00:00,2026-07-31T13:00:21.500000-03:00,262.73400542885065,283.4326975407371,243,-29.97518041729927,1.0943636894226074,0,0,0,0,,0.0
punto,2026-07-31T16:10:21.500000+00:00,2026-07-31T13:10:21.500000-03:00,266.0524847134948,282.8491562908367,243,-32.68680115789175,0.9923803806304932,0,0,0,0,,0.0
punto,2026-07-31T16:20:21.500000+00:00,2026-07-31T13:20:21.500000-03:00,275.82356260716915,288.47202827327186,243,-41.99313060939312,1.2268386632204056,0,0,0,0,,0.0
punto,2026-07-31T16:30:21.500000+00:00,2026-07-31T13:30:21.500000-03:00,281.7230813354254,288.62343358916684,243,-44.428160950541496,1.167277842760086,0,0,0,0,,0.0
punto,2026-07-31T16:40:21.500000+00:00,2026-07-31T13:40:21.500000-03:00,283.87394753843546,288.5423831946285,243,-46.748026587069035,1.1597078442573547,0,0,0,0,,0.0
punto,2026-07-31T16:50:21.600000+00:00,2026-07-31T13:50:21.600000-03:00,283.32086765766144,288.2302793416438,243,-49.40593594312668,1.2135911658406258,0,0,0,0,,0.0
